Country,Energy_type,Year,CO2_emission
World,all_energy_types,1980,4946.62713
World,all_energy_types,1981,18701.974390117
World,all_energy_types,1982,18327.413968122
World,all_energy_types,1983,18284.002342435
World,all_energy_types,1984,18478.512213667
World,all_energy_types,1985,19602.547366601
World,all_energy_types,1986,20027.312840344
World,all_energy_types,1987,20511.371402668
World,all_energy_types,1988,21163.840556468
World,all_energy_types,1989,21842.542051064
World,all_energy_types,1990,22158.630157995
World,all_energy_types,1991,22144.802907335
World,all_energy_types,1992,21974.86771129
World,all_energy_types,1993,21766.142146958
World,all_energy_types,1994,21891.921080269
World,all_energy_types,1995,22064.884266997
World,all_energy_types,1996,22552.701540911
World,all_energy_types,1997,23042.161849148
World,all_energy_types,1998,23112.850596809
World,all_energy_types,1999,23152.164345777
World,all_energy_types,2000,23494.916283117
World,all_energy_types,2001,24258.080886456
World,all_energy_types,2002,24463.109021826
World,all_energy_types,2003,25016.047459541
World,all_energy_types,2004,26169.805807764
World,all_energy_types,2005,27602.319534239
World,all_energy_types,2006,28689.676654606
World,all_energy_types,2007,29632.540125273
World,all_energy_types,2008,30083.781880617
World,all_energy_types,2009,30795.450937338
World,all_energy_types,2010,30621.827233626
World,all_energy_types,2011,32519.305374489
World,all_energy_types,2012,33633.324487296
World,all_energy_types,2013,34423.41474807
World,all_energy_types,2014,34839.904249264
World,all_energy_types,2015,34894.260052604
World,all_energy_types,2016,34751.60559312
World,all_energy_types,2017,34572.38070396
World,all_energy_types,2018,35002.900777162
World,all_energy_types,2019,35584.933497695
